profile,seconds,ladder,runs,mean_final_streak_sim,mean_final_streak_exact,median,p75,p90,p95,p99,max_bucket_hit,bonus_cost_ev_per_entry,bonus_retail_ev_per_entry,player_total_retail_ev_per_entry,operator_cost_ev_per_entry,operator_profit_ev_per_entry,operator_margin,operator_total_cost,operator_total_revenue,operator_total_profit
Experienced Pokemon Player,15,current,25000000,5.59820612,5.59904006682586,5,9,11,13,16,42,4.87458744,8.405234799999999,30.4052348,20.87458744,4.125412560000001,0.16501650240000004,521864686.0,625000000.0,103135314.00000003
Experienced Pokemon Player,15,adjusted,25000000,5.59820612,5.59904006682586,5,9,11,13,16,42,1.1016532,1.7986916,23.7986916,17.1016532,7.898346799999999,0.31593387199999995,427541330.00000006,625000000.0,197458669.99999997
Pokemon Collector,15,current,25000000,3.10689136,3.1071158239792678,2,5,7,9,12,34,1.2280742,1.970553,23.970553,17.228074200000002,7.771925799999998,0.31087703199999994,430701855.00000006,625000000.0,194298144.99999997
Pokemon Collector,15,adjusted,25000000,3.10689136,3.1071158239792678,2,5,7,9,12,34,0.15906663999999998,0.2501056,22.2501056,16.15906664,8.840933360000001,0.35363733440000006,403976666.0,625000000.0,221023334.00000003
Novice,15,current,25000000,1.85321496,1.85294920262066,1,3,5,6,9,28,0.28426928,0.4432728,22.4432728,16.28426928,8.71573072,0.34862922879999997,407106732.0,625000000.0,217893268.0
Novice,15,adjusted,25000000,1.85321496,1.85294920262066,1,3,5,6,9,28,0.025157760000000005,0.0389564,22.0389564,16.02515776,8.974842240000001,0.35899368960000005,400628944.0,625000000.0,224371056.00000003
